site,species,date,doy,Js_mean,Js_sd,n,Dmean
Jordan,P. fremontii,2004-06-22T07:00:00Z,174,49.06780824637655,13.671950181406993,6,1.753058743
Jordan,P. fremontii,2004-06-23T07:00:00Z,175,48.159580480901234,13.776106881902429,6,2.303311914
Jordan,P. fremontii,2004-06-24T07:00:00Z,176,43.6280210852284,13.635785831427977,6,1.342771105
Jordan,P. fremontii,2004-06-25T07:00:00Z,177,39.7116765521111,13.599200064751267,6,0.800515239
Jordan,P. fremontii,2004-06-26T07:00:00Z,178,41.47987964498148,12.991529932312632,6,1.53910188
Jordan,P. fremontii,2004-06-27T07:00:00Z,179,38.659284140765436,13.19878493699169,6,1.458357233
Jordan,P. fremontii,2004-06-28T07:00:00Z,180,32.69543331212345,12.036426169814339,6,1.101276797
Jordan,P. fremontii,2004-06-29T07:00:00Z,181,35.17961284874075,12.470718648158023,4,0.962281986
Jordan,P. fremontii,2004-06-30T07:00:00Z,182,50.123554546666675,16.094779630557714,8,1.633728932
Jordan,P. fremontii,2004-07-01T07:00:00Z,183,52.8924851680301,19.61583321644672,8,2.110070317
Jordan,P. fremontii,2004-07-02T07:00:00Z,184,55.28226799639353,16.176325459888268,8,1.978258646
Jordan,P. fremontii,2004-07-03T07:00:00Z,185,50.32028689487501,17.14814040536246,8,1.528500819
Jordan,P. fremontii,2004-07-04T07:00:00Z,186,45.22477211889815,16.37158415548295,8,1.585199365
Jordan,P. fremontii,2004-07-05T07:00:00Z,187,47.1309846472222,16.18274701225815,8,1.598205486
Jordan,P. fremontii,2004-07-16T07:00:00Z,198,41.295069738327456,5.988675336530276,7,1.4829884100678354
Jordan,P. fremontii,2004-07-17T07:00:00Z,199,46.77636083750926,8.515103352356721,8,1.398880748
Jordan,P. fremontii,2004-07-18T07:00:00Z,200,58.305935578822215,10.294335693436349,8,1.513718711
Jordan,P. fremontii,2004-07-19T07:00:00Z,201,53.98030214435185,9.678411235010243,8,1.480522796
Jordan,P. fremontii,2004-07-20T07:00:00Z,202,56.95581540526388,9.488146349905508,8,1.604711141
Jordan,P. fremontii,2004-07-21T07:00:00Z,203,50.040908045151966,12.326256508479988,6,1.475678924
Jordan,P. fremontii,2004-07-22T07:00:00Z,204,53.67669530527871,10.086227800910361,8,1.8541993430000001
Jordan,P. fremontii,2004-07-23T07:00:00Z,205,57.07549095085648,11.926949218440013,8,1.927969162
Jordan,P. fremontii,2004-07-24T07:00:00Z,206,56.61170088654746,10.882789056367953,8,2.038890073
Jordan,P. fremontii,2004-07-25T07:00:00Z,207,53.389946167203725,9.657255800522195,8,1.811934249
Jordan,P. fremontii,2004-07-26T07:00:00Z,208,47.727815390842586,9.166073370164565,8,1.818787077
Jordan,P. fremontii,2004-07-27T07:00:00Z,209,50.169199789629616,8.539619567472611,8,1.819513926
Jordan,P. fremontii,2004-07-28T07:00:00Z,210,55.376476475231485,9.950277245565498,8,2.155032141
Jordan,P. fremontii,2004-07-29T07:00:00Z,211,54.42128047888887,6.867340669175417,3,2.342753992
Jordan,P. fremontii,2004-07-30T07:00:00Z,212,49.239211541317474,10.847800314908417,7,2.414923283
Jordan,P. fremontii,2004-07-31T07:00:00Z,213,46.70162067675558,11.964715157959885,5,2.849626021
Jordan,P. fremontii,2004-08-01T07:00:00Z,214,32.0469534405238,8.907663492173198,7,1.890419008
Jordan,P. fremontii,2004-08-02T07:00:00Z,215,32.33507590140213,8.173621737714587,7,1.377096656
Jordan,P. fremontii,2004-08-03T07:00:00Z,216,41.090685324162024,7.311850253064404,8,1.500156527
Jordan,P. fremontii,2004-08-04T07:00:00Z,217,51.31213035479169,8.747133921418419,8,2.382708613
Jordan,P. fremontii,2004-08-05T07:00:00Z,218,46.18849805565608,8.312466008148988,7,2.26561459
Jordan,P. fremontii,2004-08-06T07:00:00Z,219,51.65122280954816,12.38296977589591,5,2.765361021
Jordan,P. fremontii,2004-08-07T07:00:00Z,220,65.8051551629185,19.587183283225674,5,2.159482294
Jordan,P. fremontii,2004-08-08T07:00:00Z,221,67.97856973565386,18.213673073664452,5,2.108593913
Jordan,P. fremontii,2004-08-09T07:00:00Z,222,70.30832682474161,16.673050234796364,5,2.470830975
Jordan,P. fremontii,2004-08-10T07:00:00Z,223,71.5182868274267,15.20969658476097,5,2.722880837
Jordan,P. fremontii,2004-08-11T07:00:00Z,224,70.96481926595958,16.06120801731888,5,2.542592162
Jordan,P. fremontii,2004-08-12T07:00:00Z,225,73.83960050997057,18.82386495713803,3,1.936456385
Jordan,P. fremontii,2004-08-13T07:00:00Z,226,73.02444143370846,16.600328328817493,3,2.270255243
Jordan,P. fremontii,2004-08-14T07:00:00Z,227,68.40899770364197,12.755271274085839,3,2.29762145
Jordan,P. fremontii,2004-08-15T07:00:00Z,228,53.216783613641965,4.4793876128905605,3,2.051831838
Jordan,P. fremontii,2004-08-16T07:00:00Z,229,37.40831870625925,3.673815491141836,6,1.259126639
